report_year,agency_jurisdiction,population,violent_crimes,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
1975,"Albuquerque, NM",286238,2383,832.52,10.48,63.23,472.68,286.13
1975,"Arlington, TX",112478,278,247.16,4.45,24.89,117.36,100.46
1975,"Atlanta, GA",490584,8033,1637.44,37.71,90.3,717.1,792.32
1975,"Aurora, CO",116656,611,523.76,6,37.72,333.46,146.58
1975,"Austin, TX",300400,1215,404.46,10.99,63.25,154.13,176.1
1975,"Baltimore County, MD",642154,1259,196.06,3.89,21.33,54.04,116.79
1975,"Baltimore, MD",864100,16086,1861.59,29.97,53.58,730.12,1047.91
1975,"Boston, MA",616120,11386,1848.02,19.31,73.52,492.76,1262.42
1975,"Buffalo, NY",422276,3350,793.32,14.92,45.47,178.79,554.14
1975,"Charlotte, NC",262103,1937,739.02,25.94,27.09,372.37,313.62
1975,"Chicago, IL",3150000,37160,1179.68,25.97,52.6,397.27,703.84
1975,"Cincinnati, OH",433367,3578,825.63,14.77,60.23,347.97,402.66
1975,"Cleveland, OH",659931,10403,1576.38,43.64,74.4,382.46,1075.87
1975,"Columbus, OH",572797,3980,694.84,10.82,72.63,192.04,419.35
1975,"Dallas, TX",864665,7655,885.31,27.41,63.26,403.05,391.6
1975,"Denver, CO",508140,4960,976.11,14.56,94.46,361.71,505.37
1975,"Detroit, MI",1432444,30387,2121.34,44.19,99.41,489.58,1488.16
1975,"El Paso, TX",369000,1618,438.48,5.69,33.06,172.09,227.64
1975,"Fairfax County, VA",487905,805,164.99,4.3,21.32,50.62,88.75
1975,"Fort Worth, TX",381275,1939,508.56,18.1,44.32,129.57,316.57
1975,"Fresno, CA",176500,1141,646.46,14.16,47.59,263.46,321.25
1975,"Honolulu, HI",705262,1596,226.3,8.22,23.96,45.23,148.88
1975,"Houston, TX",1372342,8924,650.28,25.29,42.85,114.18,467.96
1975,"Indianapolis, IN",503411,4655,924.69,18.87,69.72,221.89,614.21
1975,"Jacksonville, FL",542792,4579,843.6,16.77,58.22,450.45,318.17
1975,"Kansas City, MO",489094,6072,1241.48,23.31,61.75,526.48,629.94
1975,"Las Vegas, NV",249186,2594,1040.99,14.85,67.82,418.56,539.76
1975,"Long Beach, CA",340758,3189,935.85,15.85,49.6,295.52,574.89
1975,"Los Angeles County, CA",1022888,9792,957.29,13.49,46.05,599.09,298.66
1975,"Los Angeles, CA",2729878,30405,1113.79,20.29,64.76,494.27,534.46
1975,"Louisville, KY",,,,,,,
1975,"Memphis, TN",646483,5429,839.77,18.56,80.59,279.2,461.42
1975,"Mesa, AZ",113176,267,235.92,1.77,19.44,128.12,86.59
1975,"Miami-Dade County, FL",619795,6702,1081.33,15.17,28.07,646.67,391.42
1975,"Miami, FL",350742,6213,1771.39,27.94,50.75,935.16,757.54
1975,"Milwaukee, WI",674369,3204,475.11,10.38,21.65,151.25,291.83
1975,"Minneapolis, MN",405378,3326,820.47,11.59,75.73,279.74,453.4
1975,"Montgomery County, MD",496092,967,194.92,3.83,16.93,57.65,116.51
1975,"Nashville, TN",449600,3158,702.4,20.69,24.47,211.74,445.51
1975,"Nassau County, NY",1100426,993,90.24,1.64,3,23.26,62.34
1975,"New Orleans, LA",571934,5993,1047.85,27.63,41.44,350.04,628.74
1975,"New York City, NY",7422506,132182,1780.83,22.16,52.08,585.8,1120.78
1975,"Newark, NJ",372663,7136,1914.87,32.74,79.7,655.82,1146.61
1975,"Oakland, CA",337748,5900,1746.86,32.86,93.56,677.43,943.01
1975,"Oklahoma City, OK",384081,2666,694.12,15.88,64.83,355.13,258.28
1975,"Omaha, NE",391389,2540,648.97,9.2,45.48,284.88,309.41
1975,"Orlando, FL",118457,1116,942.11,17.73,72.6,595.15,256.63
1975,"Philadelphia, PA",1883253,16332,867.22,23.1,38.02,253.6,552.5
1975,"Phoenix, AZ",668046,4649,695.91,11.23,46.55,348.03,290.1
1975,"Pittsburgh, PA",479083,4967,1036.77,13.15,49.47,401.39,572.76
1975,"Portland, OR",373126,4076,1092.39,12.86,76.92,508.68,493.94
1975,"Prince George's County, MD",569452,4147,728.24,8.08,45.83,297.3,377.03
1975,"Raleigh, NC",149940,721,480.86,11.34,13.34,308.79,147.39
1975,"Sacramento, CA",262994,2412,917.13,15.97,58.94,413.32,428.91
1975,"Salt Lake City, UT",180000,1070,594.44,6.11,55,210,323.33
1975,"San Antonio, TX",768814,4222,549.16,17.04,35.77,271.33,225.02
1975,"San Diego, CA",768713,3859,502.01,8.33,29.79,177.83,286.06
1975,"San Francisco, CA",669977,9137,1363.78,20.6,81.64,412.7,848.84
1975,"San Jose, CA",549367,2116,385.17,7.28,42.59,173.84,161.46
1975,"Seattle, WA",503500,3971,788.68,10.33,64.35,296.33,417.68
1975,"St. Louis, MO",569000,10563,1856.41,42.18,81.2,627.94,1105.1
1975,"Suffolk County, NY",1217700,964,79.17,1.07,7.39,27.1,43.61
1975,"Tampa, FL",291103,3168,1088.27,23.02,55.65,530.74,478.87
1975,"Tucson, AZ",340500,1810,531.57,6.75,40.23,276.95,207.64
1975,"Tulsa, OK",347600,1768,508.63,11.22,39.13,291.14,167.15
1975,"Virginia Beach, VA",217192,452,208.11,10.13,17.5,91.16,89.32
1975,"Washington, DC",716000,12704,1774.3,32.82,72.63,392.74,1276.12
1975,"Wichita, KS",259240,1137,438.59,13.89,20.44,157.38,246.88
1975,United States,,1039710,487.8,9.6,,,
1976,"Albuquerque, NM",292265,2420,828.02,9.58,63.64,456.78,298.02
1976,"Arlington, TX",107470,274,254.95,4.65,27.91,130.27,92.12
1976,"Atlanta, GA",457300,7529,1646.4,33.68,104.31,769.3,739.12
1976,"Aurora, CO",132000,546,413.64,1.52,30.3,256.06,125.76
1976,"Austin, TX",284908,1202,421.89,8.42,63.53,168.12,181.81
1976,"Baltimore County, MD",642369,1798,279.9,2.96,22.11,147.73,107.1
1976,"Baltimore, MD",860974,14191,1648.25,23.23,53.43,670.87,900.72
1976,"Boston, MA",619437,9888,1596.29,13.08,63.28,531.13,988.8
1976,"Buffalo, NY",425101,3091,727.12,12.7,47.52,211.24,455.66
1976,"Charlotte, NC",274020,1895,691.56,18.98,30.65,375.16,266.77
1976,"Chicago, IL",3134499,30640,977.51,25.97,37.61,353.17,560.76
1976,"Cincinnati, OH",427045,3461,810.45,13.11,61.59,378.65,357.11
1976,"Cleveland, OH",642298,8496,1322.75,36.74,77.53,359.49,848.98
1976,"Columbus, OH",595500,3287,551.97,8.9,55.08,165.41,322.59
1976,"Dallas, TX",888450,7244,815.35,25.89,66.52,372.56,350.39
1976,"Denver, CO",523676,4107,784.26,16.42,73.14,304.77,389.94
1976,"Detroit, MI",1334100,29699,2226.14,49.7,92.2,494.19,1590.06
1976,"El Paso, TX",361413,1573,435.24,6.92,32.65,176.53,219.14
1976,"Fairfax County, VA",524272,708,135.04,3.24,16.02,51.5,64.28
1976,"Fort Worth, TX",364302,1732,475.43,19.21,47.76,138.07,270.38
1976,"Fresno, CA",177900,1267,712.2,15.74,30.92,259.13,406.41
