Abbr,State,Year,Population,PopDens,Index,Violent,Property,Murder,Forcible rape,Robbery,Aggravated assault,Burglary,larceny-theft,Vehicle theft,Unemployment,UnemploymentPercent,MedianIncome
AK,Alaska,2018,735139,1.29,4203,892,3312,6,165,122,599,542,2226,544,3001,3.00,51113
AL,Alabama,2018,4887681,96.31,3361,523,2838,8,42,83,391,595,1971,272,6147,6.15,72231
AR,Arkansas,2018,3009733,57.80,3525,562,2963,7,78,53,424,649,2072,243,4707,4.71,61125
AZ,Arizona,2018,7158024,62.99,3168,476,2693,5,50,91,329,444,1981,268,3551,3.55,48829
CA,California,2018,39461588,253.00,2834,448,2386,4,39,138,266,417,1576,393,4043,4.04,69759
CO,Colorado,2018,5691287,54.87,3113,402,2711,4,76,66,255,382,1942,387,2764,2.76,74172
CT,Connecticut,2018,3571520,737.16,1872,210,1662,2,24,62,121,224,1237,201,3726,3.73,72780
DE,Delaware,2018,965479,493.85,2743,423,2321,5,35,89,294,327,1842,152,3772,3.77,62318
FL,Florida,2018,21244317,393.44,2674,386,2288,5,40,80,262,339,1755,194,3117,3.12,53681
GA,Georgia,2018,10511131,181.48,2982,339,2643,6,27,81,225,445,1956,241,3441,3.44,57016
HI,Hawaii,2018,1420593,221.17,3143,255,2888,3,50,67,135,402,2084,403,2719,2.72,73575
IA,Iowa,2018,3148618,56.35,2075,264,1811,2,36,31,194,395,1255,162,2912,2.91,60208
ID,Idaho,2018,1750536,21.15,1715,240,1475,2,53,11,174,285,1078,112,3982,3.98,64609
IL,Illinois,2018,12723071,228.86,2350,411,1939,7,48,112,244,309,1474,156,3316,3.32,58873
IN,Indiana,2018,6691878,186.56,2562,382,2179,7,35,89,252,378,1573,229,2744,2.74,63481
KS,Kansas,2018,2911359,35.58,3102,442,2660,4,57,49,332,439,1948,272,3157,3.16,57872
KY,Kentucky,2018,4461153,112.28,2218,218,2000,6,42,55,115,391,1374,235,4296,4.30,51348
LA,Louisiana,2018,4659690,106.96,3827,543,3283,11,45,99,388,672,2362,250,4792,4.79,43903
MA,Massachusetts,2018,6882635,878.11,1614,340,1274,2,36,59,243,205,973,96,3019,3.02,51664
MD,Maryland,2018,6035802,617.47,2506,469,2037,8,33,161,267,313,1522,201,3591,3.59,81084
ME,Maine,2018,1339057,43.38,1471,112,1359,2,33,17,60,203,1099,58,2911,2.91,73227
MI,Michigan,2018,9984072,176.59,2117,453,1665,6,79,57,311,319,1171,175,4087,4.09,57700
MN,Minnesota,2018,5606249,70.42,2222,221,2001,2,44,53,123,289,1531,181,3217,3.22,71920
MO,Missouri,2018,6121623,88.85,3159,501,2658,10,48,85,359,447,1887,324,5422,5.42,43441
MS,Mississippi,2018,2986530,63.66,2637,234,2403,6,18,53,157,698,1561,144,3261,3.26,56885
MT,Montana,2018,1060665,7.29,2906,381,2526,4,54,26,298,314,1946,266,3482,3.48,59087
NC,North Carolina,2018,10381615,213.10,2700,356,2344,6,25,73,252,553,1632,159,3057,3.06,59619
ND,North Dakota,2018,758080,10.99,2345,284,2061,2,54,21,207,362,1463,236,3905,3.91,56550
NE,Nebraska,2018,1925614,25.05,2377,290,2087,2,67,38,182,276,1557,254,2544,2.54,74801
NH,New Hampshire,2018,1353465,150.90,1448,177,1270,2,43,23,83,126,1017,66,3521,3.52,72997
NJ,New Jersey,2018,8886025,"1,197.74",1617,209,1408,3,16,72,118,216,1068,124,4861,4.86,47855
NM,New Mexico,2018,2092741,17.24,4222,843,3379,7,62,126,647,769,2131,479,3959,3.96,62447
NV,Nevada,2018,3034392,27.63,2979,541,2438,7,77,127,330,585,1461,392,3886,3.89,50343
NY,New York,2018,19530351,413.57,1792,351,1442,3,34,93,221,160,1215,67,2382,2.38,59886
OH,Ohio,2018,11676341,285.12,2503,295,2208,5,50,82,157,424,1614,171,4130,4.13,59768
OK,Oklahoma,2018,3940235,57.37,3378,475,2903,6,62,71,336,690,1873,341,3285,3.28,55006
OR,Oregon,2018,4181886,43.56,3217,290,2927,2,51,60,178,395,2133,399,3765,3.76,64610
PA,Pennsylvania,2018,12800922,285.61,1795,305,1489,6,35,77,187,211,1175,103,4350,4.35,63173
RI,Rhode Island,2018,1058287,"1,023.49",1885,220,1665,2,47,43,129,266,1254,145,3571,3.57,66390
SC,South Carolina,2018,5084156,168.85,3576,501,3075,8,52,71,370,589,2192,294,2855,2.85,54971
SD,South Dakota,2018,878698,11.58,2125,396,1729,1,70,25,300,285,1279,165,3289,3.29,56894
TN,Tennessee,2018,6771631,164.28,3479,630,2849,8,45,107,472,495,2048,305,3388,3.39,55240
TX,Texas,2018,28628666,109.31,2792,413,2379,5,53,99,257,412,1723,245,3511,3.51,59295
UT,Utah,2018,3153550,38.38,2659,239,2419,2,59,39,139,320,1852,248,2612,2.61,71319
VA,Virginia,2018,8501286,214.69,1886,204,1681,5,36,43,121,184,1370,127,2382,2.38,63805
VT,Vermont,2018,624358,67.51,1500,185,1315,2,52,12,119,240,1033,42,2791,2.79,71293
WA,Washington,2018,7523869,113.00,3283,315,2967,3,48,74,190,537,2059,371,4267,4.27,75418
WI,Wisconsin,2018,5807406,106.92,1870,299,1571,3,40,60,196,244,1178,149,4885,4.89,45392
WV,West Virginia,2018,1804291,74.91,1846,300,1546,4,40,19,238,328,1096,121,3340,3.34,63451
WY,Wyoming,2018,577601,5.95,1998,214,1785,2,45,13,153,269,1381,136,3610,3.61,57837
