Continent,Country,ClimateIndex,CostOfLivingIndex,CrimeIndex,HealthCareIndex,PollutionIndex,PopDensityKM2,PropertyPriceToIncomeRatio,PurchasingPowerIndex,QualityOfLifeIndex,SafetyIndex,TrafficCommuteTimeIndex
Africa,Egypt,91.98,29.54,46.92,45.84,85.65,100,13.01,22.41,86.54,53.08,49.78
Africa,Kenya,99.79,40.21,61.66,55.59,76.6,82,31.63,27.32,70.56,38.34,56.65
Africa,Morocco,91.7,34.32,48.69,45.72,70.64,80,14.18,35.25,105.46,51.31,36.89
Africa,Nigeria,60.75,31,63.77,51.59,87.63,218,16.7,13.52,55.65,36.23,61.08
Africa,South Africa,95.25,42.87,77.49,64.14,57.3,48,3.93,73.61,131.97,22.51,39.43
Asia,Bangladesh,71.29,32.25,63.94,42.8,86.21,1169,13.1,33.21,70.03,36.06,56.73
Asia,China,79.19,40.04,31.83,64.48,80.77,145,29.06,60.88,102.81,68.17,41.81
Asia,India,64.87,24.58,43.32,67.13,78.87,414,11.38,54.3,108.63,56.68,46.99
Asia,Indonesia,74.15,37.27,45.84,60.48,66.56,141,18.88,25.05,97.47,54.16,43.11
Asia,Iran,70.99,39.01,49.25,51.7,77.45,51,25.11,22.69,74.14,50.75,48.01
Asia,Israel,93.78,81.15,29.6,73.29,57.25,416,12.83,78.09,149.94,70.4,35.91
Asia,Japan,84.79,83.35,20.66,81.14,39.59,333,13,87.28,167.99,79.34,39.15
Asia,Jordan,89.05,53.67,40.83,64.6,77.78,119,8.42,34.88,112.4,59.17,42.03
Asia,Kazakhstan,39.78,30.64,62.02,50.7,75.15,7,10.86,38.36,88.31,37.98,31.08
Asia,Kuwait,20.22,50.37,34.75,56.21,68.69,248,12.28,85.59,115.75,65.25,34.44
Asia,Lebanon,94.74,60.5,43.36,64.38,88.37,672,13.23,44.47,106.56,56.64,37.38
Asia,Malaysia,57.92,39.12,58.84,68.1,63.18,99,9.94,64.49,118.44,41.16,37.03
Asia,Oman,67.22,49.28,20.79,58.15,37.74,14,9.08,80.97,167.09,79.21,22.8
Asia,Pakistan,71.93,21.98,44.08,60.59,74.25,272,11.98,30.57,105.44,55.92,38.56
Asia,Philippines,60.81,37.63,42.16,67.47,74.28,361,24.6,23.48,85.37,57.84,44.63
Asia,Qatar,36.03,64.04,11.86,73.3,61.06,237,5.82,111.69,162.29,88.14,29.72
