offense,vic_off,age,sex,count
All,Victim,0-9,none,23132
All,Victim,10-19,none,87873
All,Victim,20-29,none,144423
All,Victim,30-39,none,109492
All,Victim,40-49,none,68914
All,Victim,50-59,none,46546
All,Victim,60-69,none,20818
All,Victim,70-79,none,6040
All,Victim,80-89,none,1683
All,Victim,<90,none,494
All,Victim,Unknown,none,5631
All,Victim,none,Male,0.51
All,Victim,none,Female,0.49
All,Victim,none,Unknown,0.00
Homicide,Victim,0-9,none,255
Homicide,Victim,10-19,none,706
Homicide,Victim,20-29,none,1966
Homicide,Victim,30-39,none,1419
Homicide,Victim,40-49,none,941
Homicide,Victim,50-59,none,623
Homicide,Victim,60-69,none,378
Homicide,Victim,70-79,none,180
Homicide,Victim,80-89,none,60
Homicide,Victim,<90,none,12
Homicide,Victim,Unknown,none,51
Homicide,Victim,none,Male,0.76
Homicide,Victim,none,Female,0.23
Homicide,Victim,none,Unknown,0.00
Rape,Victim,0-9,none,7896
Rape,Victim,10-19,none,25964
Rape,Victim,20-29,none,13982
Rape,Victim,30-39,none,8095
Rape,Victim,40-49,none,4299
Rape,Victim,50-59,none,2121
Rape,Victim,60-69,none,689
Rape,Victim,70-79,none,252
Rape,Victim,80-89,none,162
Rape,Victim,<90,none,78
Rape,Victim,Unknown,none,510
Rape,Victim,none,Male,0.10
Rape,Victim,none,Female,0.90
Rape,Victim,none,Unknown,0.00
Robbery,Victim,0-9,none,623
Robbery,Victim,10-19,none,15960
Robbery,Victim,20-29,none,32941
Robbery,Victim,30-39,none,22382
Robbery,Victim,40-49,none,14712
Robbery,Victim,50-59,none,11650
Robbery,Victim,60-69,none,5883
Robbery,Victim,70-79,none,1788
Robbery,Victim,80-89,none,493
Robbery,Victim,<90,none,82
Robbery,Victim,Unknown,none,723
Robbery,Victim,none,Male,0.65
Robbery,Victim,none,Female,0.35
Robbery,Victim,none,Unknown,0.00
Assault,Victim,0-9,none,14358
Assault,Victim,10-19,none,45243
Assault,Victim,20-29,none,95534
Assault,Victim,30-39,none,77596
Assault,Victim,40-49,none,48962
Assault,Victim,50-59,none,32152
Assault,Victim,60-69,none,13868
Assault,Victim,70-79,none,3820
Assault,Victim,80-89,none,968
Assault,Victim,<90,none,322
Assault,Victim,Unknown,none,4347
Assault,Victim,none,Male,0.53
Assault,Victim,none,Female,0.46
Assault,Victim,none,Unknown,0.01
Property,Victim,0-9,none,6387
Property,Victim,10-19,none,106395
Property,Victim,20-29,none,513167
Property,Victim,30-39,none,511320
Property,Victim,40-49,none,401815
Property,Victim,50-59,none,356096
Property,Victim,60-69,none,248366
Property,Victim,70-79,none,118090
Property,Victim,80-89,none,37334
Property,Victim,<90,none,7506
Property,Victim,Unknown,none,27520
Property,Victim,none,Male,0.54
Property,Victim,none,Female,0.46
Property,Victim,none,Unknown,0.01
All,Offender,0-9,none,1526
All,Offender,10-19,none,84590
All,Offender,20-29,none,146387
All,Offender,30-39,none,102746
All,Offender,40-49,none,51140
All,Offender,50-59,none,33402
All,Offender,60-69,none,10498
All,Offender,70-79,none,2384
All,Offender,80-89,none,601
All,Offender,<90,none,525
All,Offender,Unknown,none,77348
All,Offender,none,Male,0.78
All,Offender,none,Female,0.17
All,Offender,none,Unknown,0.05
Homicide,Offender,0-9,none,5
Homicide,Offender,10-19,none,1234
Homicide,Offender,20-29,none,2638
Homicide,Offender,30-39,none,1412
Homicide,Offender,40-49,none,711
Homicide,Offender,50-59,none,429
Homicide,Offender,60-69,none,176
Homicide,Offender,70-79,none,56
Homicide,Offender,80-89,none,22
Homicide,Offender,<90,none,4
Homicide,Offender,Unknown,none,1023
Homicide,Offender,none,Male,0.78
Homicide,Offender,none,Female,0.11
Homicide,Offender,none,Unknown,0.10
Rape,Offender,0-9,none,651
Rape,Offender,10-19,none,14580
Rape,Offender,20-29,none,14733
Rape,Offender,30-39,none,11933
Rape,Offender,40-49,none,6830
Rape,Offender,50-59,none,4802
Rape,Offender,60-69,none,1708
Rape,Offender,70-79,none,426
Rape,Offender,80-89,none,110
Rape,Offender,<90,none,187
Rape,Offender,Unknown,none,7531
Rape,Offender,none,Male,0.93
Rape,Offender,none,Female,0.04
Rape,Offender,none,Unknown,0.03
Robbery,Offender,0-9,none,186
Robbery,Offender,10-19,none,31464
Robbery,Offender,20-29,none,40384
Robbery,Offender,30-39,none,18387
Robbery,Offender,40-49,none,6290
Robbery,Offender,50-59,none,4712
Robbery,Offender,60-69,none,567
Robbery,Offender,70-79,none,61
Robbery,Offender,80-89,none,39
Robbery,Offender,<90,none,131
Robbery,Offender,Unknown,none,36292
Robbery,Offender,none,Male,0.83
Robbery,Offender,none,Female,0.12
Robbery,Offender,none,Unknown,0.06
Assault,Offender,0-9,none,684
Assault,Offender,10-19,none,37312
Assault,Offender,20-29,none,88632
Assault,Offender,30-39,none,71014
Assault,Offender,40-49,none,37309
Assault,Offender,50-59,none,23459
Assault,Offender,60-69,none,8047
Assault,Offender,70-79,none,1841
Assault,Offender,80-89,none,430
Assault,Offender,<90,none,203
Assault,Offender,Unknown,none,32502
Assault,Offender,none,Male,0.73
Assault,Offender,none,Female,0.23
Assault,Offender,none,Unknown,0.05
Property,Offender,0-9,none,5093
Property,Offender,10-19,none,234313
Property,Offender,20-29,none,405699
Property,Offender,30-39,none,369339
Property,Offender,40-49,none,184593
Property,Offender,50-59,none,134763
Property,Offender,60-69,none,28933
Property,Offender,70-79,none,4818
Property,Offender,80-89,none,1444
Property,Offender,<90,none,1686
Property,Offender,Unknown,none,689498
Property,Offender,none,Male,0.49
Property,Offender,none,Female,0.24
Property,Offender,none,Unknown,0.27
